Irradiation 5min [W/m²] ;Irradiation 10min [W/m²] ;Irradiation 30min [W/m²] 
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;38
0;0;46
0;0;54
0;0;55
0;0;77
0;0;81
0;0;79
0;0;78
0;0;81
0;0;82
0;0;52
0;0;46
0;0;47
0;0;47
0;0;8
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;23;0
0;46;0
0;46;0
0;46;0
0;46;0
0;46;0
0;51;0
0;55;0
0;55;0
0;55;0
0;55;0
0;55;0
0;68;73
0;81;87
0;81;143
0;81;154
0;81;133
0;81;129
0;80;145
0;78;148
0;78;159
0;78;161
0;78;102
0;78;90
0;80;88
0;82;87
0;82;15
0;82;0
0;82;0
0;82;0
0;64;0
0;46;0
0;46;0
0;46;0
0;46;0
0;46;0
0;47;0
0;47;0
0;47;0
0;47;0
0;47;0
0;47;0
0;24;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
46;0;0
46;0;0
46;0;0
46;0;0
46;0;0
46;0;108
46;0;130
46;0;223
46;0;242
46;0;302
46;0;314
46;0;332
55;0;335
55;0;318
55;0;314
55;0;245
55;0;231
55;0;144
55;0;127
55;0;21
55;0;0
55;0;0
55;0;0
55;0;0
81;0;0
81;0;0
81;0;0
81;0;0
81;0;0
81;0;0
81;0;0
81;0;0
81;0;0
81;0;0
81;0;0
81;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
82;0;0
82;0;0
82;0;0
82;0;0
82;0;0
82;0;96
82;0;115
82;0;194
82;0;210
82;0;188
82;0;183
82;0;286
46;0;307
46;0;301
46;0;300
46;0;218
46;0;201
46;0;138
46;0;125
46;0;21
46;0;0
