date,name,address,phoneNumber,email,name1,address1,phoneNumber1,email1
2023-10-01,Pharmacie du 1er Mars,Rue du Premier-Mars 31\n2206 Les Geneveys-sur-Coffrane,032 857 10 09,phcie.premiermars@bluewin.ch,Pharmacie Marti Place Pury,Rue du Seyon 1\n2000 Neuchâtel,032 729 11 60,placepury@pharmaciemarti.ch
2023-10-02,Pharmacie du 1er Mars,Rue du Premier-Mars 31\n2206 Les Geneveys-sur-Coffrane,032 857 10 09,phcie.premiermars@bluewin.ch,Pharmacie de St-Blaise,Grand Rue 11\n2072 St-Blaise,032 753 18 42,psb@ovan.ch
2023-10-03,Pharmacie du 1er Mars,Rue du Premier-Mars 31\n2206 Les Geneveys-sur-Coffrane,032 857 10 09,phcie.premiermars@bluewin.ch,Amavita Tripet,Rue du Seyon 8\n2000 Neuchâtel,058 878 21 20,pharmacie.tripet@amavita.ch
2023-10-04,Pharmacie du 1er Mars,Rue du Premier-Mars 31\n2206 Les Geneveys-sur-Coffrane,032 857 10 09,phcie.premiermars@bluewin.ch,Pharmacie de la Gare,Place de La Gare 1\n2000 Neuchâtel,032 724 63 65,pharmacie365@ovan.ch
2023-10-05,Pharmacie du 1er Mars,Rue du Premier-Mars 31\n2206 Les Geneveys-sur-Coffrane,032 857 10 09,phcie.premiermars@bluewin.ch,Sun Store Marin Centre,Rue de la Fleur-de-Lys 26\n2074 Marin-Centre,058 878 56 30,pharmacie.marin-centre@sunstore.ch
2023-10-06,Pharmacie du 1er Mars,Rue du Premier-Mars 31\n2206 Les Geneveys-sur-Coffrane,032 857 10 09,phcie.premiermars@bluewin.ch,Amavita Portes-Rouges,Avenue des Portes-Rouges 46\n2000 Neuchâtel,058 878 21 00,pharmacie.portes-rouges@amavita.ch
2023-10-07,Pharmacieplus du Val-de-Ruz,Rue du Centre 2\n2052 Fontainemelon,032 853 22 56,valderuz.ne@pharmacieplus.ch,Pharmacieplus de Monruz,Rue de Monruz 23\n2000 Neuchâtel,032 725 66 55,monruz@ovan.ch
2023-10-08,Pharmacieplus du Val-de-Ruz,Rue du Centre 2\n2052 Fontainemelon,032 853 22 56,valderuz.ne@pharmacieplus.ch,Pharmacieplus de Monruz,Rue de Monruz 23\n2000 Neuchâtel,032 725 66 55,monruz@ovan.ch
2023-10-09,Pharmacieplus du Val-de-Ruz,Rue du Centre 2\n2052 Fontainemelon,032 853 22 56,valderuz.ne@pharmacieplus.ch,Pharmacie Marti Vausseyon,Rue des Poudrières 137\n2000 Neuchâtel,032 730 44 40,vauseyon@pharmaciemarti.ch
2023-10-10,Pharmacieplus du Val-de-Ruz,Rue du Centre 2\n2052 Fontainemelon,032 853 22 56,valderuz.ne@pharmacieplus.ch,Pharmacieplus des 3 Chevrons,Rue Laurent-Péroud 1\n2088 Cressier,032 757 12 17,3chevrons@pharmacieplus.ch
2023-10-11,Pharmacieplus du Val-de-Ruz,Rue du Centre 2\n2052 Fontainemelon,032 853 22 56,valderuz.ne@pharmacieplus.ch,Pharmaconfort City Centre,Rue de l'Ecluse 38\n2000 Neuchâtel,032 552 50 50,citycentre.ne@pharmaconfort.ch
